latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
5.21478,114.74213,331.1,0.66,0.73,2021-03-09,04:48,N,nominal,1.0NRT,281.7,5.3,D
6.90545,124.40549,331.7,0.45,0.39,2021-03-09,04:48,N,low,1.0NRT,297.9,5,D
6.90587,124.29226,330.6,0.46,0.39,2021-03-09,04:48,N,nominal,1.0NRT,293.9,5.4,D
7.10555,124.27954,335.6,0.45,0.39,2021-03-09,04:48,N,nominal,1.0NRT,296.6,5.7,D
6.93061,122.11234,341.6,0.4,0.44,2021-03-09,04:48,N,nominal,1.0NRT,297.5,1.5,D
7.43217,124.72774,333.1,0.43,0.38,2021-03-09,04:48,N,low,1.0NRT,294,6.5,D
7.20154,122.11396,329,0.4,0.44,2021-03-09,04:48,N,nominal,1.0NRT,293.9,3.2,D
7.20897,122.05721,339.1,0.4,0.44,2021-03-09,04:48,N,nominal,1.0NRT,294.8,4.6,D
7.26049,122.24804,341.4,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,297.6,2.4,D
6.34658,115.65759,331,0.55,0.68,2021-03-09,04:48,N,nominal,1.0NRT,286.7,4.1,D
7.81726,122.35016,332.8,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294.6,7.5,D
7.81509,122.34768,335.3,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294,6.3,D
7.92829,122.396,332.2,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,293.2,4.7,D
7.38361,115.84696,367,0.51,0.66,2021-03-09,04:48,N,high,1.0NRT,292.7,39.8,D
9.1239,123.13493,329.6,0.49,0.4,2021-03-09,04:48,N,nominal,1.0NRT,296.7,5.9,D
9.33958,118.39754,336.7,0.32,0.55,2021-03-09,04:48,N,nominal,1.0NRT,292,2.6,D
22.70729,115.48514,336.1,0.56,0.52,2021-03-09,04:54,N,nominal,1.0NRT,292,7.7,D
23.77935,120.60422,335.3,0.43,0.38,2021-03-09,04:54,N,nominal,1.0NRT,297,1.4,D
23.38714,116.36496,339.3,0.48,0.48,2021-03-09,04:54,N,nominal,1.0NRT,291.4,4.7,D
23.79234,117.6236,330.9,0.4,0.44,2021-03-09,04:54,N,nominal,1.0NRT,294.7,4.9,D
24.98042,121.32314,332.8,0.4,0.37,2021-03-09,04:54,N,nominal,1.0NRT,294.6,4.8,D
17.0179,122.14244,332.7,0.44,0.38,2021-03-09,04:54,N,nominal,1.0NRT,300.2,4,D
16.91016,121.26363,332.1,0.49,0.4,2021-03-09,04:54,N,nominal,1.0NRT,298.6,2.4,D
17.05985,121.53056,333.7,0.47,0.4,2021-03-09,04:54,N,nominal,1.0NRT,300.1,7.4,D
17.05914,121.52636,347.8,0.47,0.4,2021-03-09,04:54,N,nominal,1.0NRT,302,7.4,D
17.14603,121.55196,329.4,0.47,0.39,2021-03-09,04:54,N,low,1.0NRT,300.2,2.8,D
18.44259,120.82282,333.6,0.49,0.4,2021-03-09,04:54,N,low,1.0NRT,307.3,6.5,D
18.51628,120.6422,334.5,0.5,0.41,2021-03-09,04:54,N,nominal,1.0NRT,304,6.5,D
22.89084,120.48666,348.7,0.45,0.39,2021-03-09,04:54,N,nominal,1.0NRT,307.4,20.5,D
22.89437,120.48593,338.3,0.45,0.39,2021-03-09,04:54,N,nominal,1.0NRT,301,5.9,D
22.70799,115.48392,342.8,0.56,0.52,2021-03-09,04:54,N,nominal,1.0NRT,292.5,7.9,D
17.48957,121.50648,344.2,0.46,0.39,2021-03-09,04:54,N,nominal,1.0NRT,301.4,5,D
17.59973,121.55865,338.8,0.46,0.39,2021-03-09,04:54,N,nominal,1.0NRT,300.8,6.5,D
17.54626,120.75048,334.9,0.51,0.41,2021-03-09,04:54,N,nominal,1.0NRT,302,2.7,D
17.68402,120.80557,333.9,0.5,0.41,2021-03-09,04:54,N,nominal,1.0NRT,303.5,3.5,D
17.73678,120.77661,342.2,0.5,0.41,2021-03-09,04:54,N,nominal,1.0NRT,307.7,13.1,D
17.73752,120.77818,337.5,0.5,0.41,2021-03-09,04:54,N,nominal,1.0NRT,305.5,11.6,D
17.7529,120.6236,331.7,0.51,0.41,2021-03-09,04:54,N,nominal,1.0NRT,301.4,2.9,D
18.22779,122.05018,329.2,0.43,0.38,2021-03-09,04:54,N,nominal,1.0NRT,299.3,1.6,D
18.14189,121.33955,329.9,0.46,0.39,2021-03-09,04:54,N,nominal,1.0NRT,297.1,2.8,D
18.43976,120.82841,334.8,0.49,0.4,2021-03-09,04:54,N,low,1.0NRT,305.5,4,D
-6.03024,105.95574,333.2,0.39,0.36,2021-03-09,06:24,N,nominal,1.0NRT,301.1,3.2,D
-6.10201,105.42212,333.9,0.39,0.36,2021-03-09,06:24,N,low,1.0NRT,307.8,12.9,D
-6.00565,105.9812,348.3,0.39,0.37,2021-03-09,06:24,N,nominal,1.0NRT,303.8,12.9,D
-4.58707,104.99026,330.9,0.39,0.36,2021-03-09,06:24,N,nominal,1.0NRT,296.9,1.5,D
-2.70734,105.92304,331.6,0.41,0.37,2021-03-09,06:24,N,nominal,1.0NRT,298.6,3.7,D
1.75809,104.07294,337.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.5,8,D
1.79839,104.13547,347.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,306,4.3,D
1.80228,104.1385,334.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.6,4.1,D
1.80175,104.13497,336.6,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,307,4.3,D
1.8031,104.0987,343.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.5,11.5,D
1.80859,104.1123,344.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.5,12.9,D
1.80591,104.09468,335.8,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,308.4,4,D
1.80538,104.09116,333.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.7,2.3,D
1.81248,104.11533,334.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.7,3.7,D
1.81195,104.11181,349.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.1,12.9,D
1.81637,104.11836,343.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.8,4,D
1.81758,104.10375,339,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.5,5.5,D
1.96464,104.07681,348.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.1,6.8,D
1.968,104.0763,341.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.8,6.8,D
2.19872,102.49607,330.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.1,1.3,D
3.9541,113.76942,334.8,0.51,0.66,2021-03-09,06:30,N,nominal,1.0NRT,277.3,5.9,D
3.96026,113.76872,352.1,0.51,0.66,2021-03-09,06:30,N,nominal,1.0NRT,277.5,5.9,D
2.50269,103.67429,330.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299,2.3,D
2.53628,103.67906,341.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.8,5.7,D
